timestamp,frame_id,class_name,threat_level,confidence,x1,y1,x2,y2
2026-08-17T03:32:32.054Z,0,speedboat,SMALL CRAFT,0.714,19,108,384,289
2026-08-17T03:32:32.054Z,0,fishing_boat,SMALL CRAFT,0.449,21,99,386,289
